,Месяц,НДПИ,Объём добычи,Утверждённый норматив потерь,Факт потери,Разница
0,Январь,85980,373.87,4.11,0.041,4.069
1,Февраль,74574,322.87,3.55,0.036,3.514
2,Март,90439,389.87,4.29,0.043,4.247
3,Апрель,79646,341.87,3.76,0.038,3.722
4,Май,80456,343.87,3.78,0.038,3.742
5,Июнь,64821,275.87,3.03,0.03,3.0
6,Июль,79256,335.87,3.69,0.037,3.653
7,Август,72719,306.87,3.38,0.034,3.346
8,Сентябрь,66363,278.87,3.07,0.031,3.0389999999999997
9,Октябрь,59712,249.87,2.75,0.027,2.723
10,Ноябрь,60441,251.87,2.77,0.028,2.742
11,Декабрь,68163,282.87,3.11,0.031,3.0789999999999997
